10168 nuc       20   0 2329460 359216  97400 S 128,8  2,2   0:03.89 python3
10168 nuc       20   0 2335604 360076  97400 S 301,0  2,2   0:12.95 python3
10168 nuc       20   0 2336256 357796  97648 S 301,0  2,2   0:22.01 python3
10168 nuc       20   0 2342400 364996  97648 S 302,7  2,2   0:31.09 python3
10168 nuc       20   0 2342400 363812  97648 S 302,7  2,2   0:40.20 python3
10168 nuc       20   0 2342400 361348  97648 S 304,0  2,2   0:49.35 python3
10168 nuc       20   0 2342400 364868  97648 S 301,3  2,2   0:58.42 python3
10168 nuc       20   0 2342400 360272  97648 S 302,0  2,2   1:07.51 python3
10168 nuc       20   0 2342400 361324  97648 S 302,0  2,2   1:16.60 python3
10168 nuc       20   0 2342400 363256  97648 S 300,7  2,2   1:25.65 python3
10168 nuc       20   0 2342400 361832  97648 S 304,3  2,2   1:34.78 python3
10168 nuc       20   0 2342400 360132  97648 S 302,7  2,2   1:43.89 python3
10168 nuc       20   0 2342400 361472  97648 S 300,0  2,2   1:52.92 python3
10168 nuc       20   0 2348580 359124  97648 S 289,7  2,2   2:01.64 python3
10168 nuc       20   0 2348580 363148  97648 S 284,1  2,2   2:10.19 python3
10168 nuc       20   0 2348580 362488  98316 S 290,7  2,2   2:18.94 python3
10168 nuc       20   0 2348580 365168  98316 S 280,4  2,2   2:27.38 python3
10168 nuc       20   0 2348580 362144  98316 S 295,0  2,2   2:36.23 python3
10168 nuc       20   0 2348580 363144  98316 S 284,7  2,2   2:44.80 python3
10168 nuc       20   0 2348580 364744  98316 S 288,4  2,2   2:53.48 python3
10168 nuc       20   0 2348580 367752  98316 S 302,7  2,3   3:02.59 python3
10168 nuc       20   0 2348580 365764  98316 S 301,0  2,2   3:11.65 python3
10168 nuc       20   0 2348580 363556  98316 R 297,3  2,2   3:20.57 python3
10168 nuc       20   0 2348580 367300  98316 S 299,3  2,3   3:29.58 python3
10168 nuc       20   0 2348580 366808  98316 S 292,7  2,2   3:38.39 python3
10168 nuc       20   0 2348580 367276  98316 S 285,4  2,3   3:46.98 python3
