 9969 nuc       20   0  963520 280636  77004 R  47,2  1,7   0:01.42 python3
 9969 nuc       20   0 2330096 357492  97264 R 237,3  2,2   0:08.54 python3
 9969 nuc       20   0 2342384 360064  97264 S 292,7  2,2   0:17.35 python3
 9969 nuc       20   0 2342384 363204  97264 S 299,3  2,2   0:26.36 python3
 9969 nuc       20   0 2342384 358004  97264 S 300,7  2,2   0:35.38 python3
 9969 nuc       20   0 2342384 360316  97264 S 299,0  2,2   0:44.38 python3
 9969 nuc       20   0 2342384 357620  97264 S 299,7  2,2   0:53.40 python3
 9969 nuc       20   0 2342384 358520  97268 S 301,0  2,2   1:02.46 python3
 9969 nuc       20   0 2342384 365128  97268 S 300,3  2,2   1:11.50 python3
 9969 nuc       20   0 2342384 357148  97268 S 302,0  2,2   1:20.59 python3
 9969 nuc       20   0 2342384 359284  97268 S 303,0  2,2   1:29.71 python3
 9969 nuc       20   0 2342384 359616  97268 S 300,3  2,2   1:38.75 python3
 9969 nuc       20   0 2348528 362624  97268 S 300,0  2,2   1:47.75 python3
 9969 nuc       20   0 2348564 362784  97268 S 294,0  2,2   1:56.63 python3
 9969 nuc       20   0 2348564 360904  97268 S 295,3  2,2   2:05.49 python3
 9969 nuc       20   0 2348564 362452  97268 S 288,7  2,2   2:14.18 python3
 9969 nuc       20   0 2348564 359608  97268 S 282,4  2,2   2:22.68 python3
 9969 nuc       20   0 2348564 362432  97268 S 287,7  2,2   2:31.34 python3
 9969 nuc       20   0 2348564 364376  97268 S 291,4  2,2   2:40.11 python3
 9969 nuc       20   0 2348564 361044  97268 S 284,7  2,2   2:48.68 python3
 9969 nuc       20   0 2348564 363820  97268 S 300,3  2,2   2:57.72 python3
 9969 nuc       20   0 2348564 362036  97268 S 295,7  2,2   3:06.59 python3
 9969 nuc       20   0 2348564 362260  97268 S 295,3  2,2   3:15.48 python3
 9969 nuc       20   0 2348564 361048  97268 S 282,1  2,2   3:23.97 python3
 9969 nuc       20   0 2348564 362280  97268 S 297,3  2,2   3:32.92 python3
 9969 nuc       20   0 2348564 360952  97268 R 287,7  2,2   3:41.58 python3
