10061 nuc       20   0 2217188 323108  85160 R  77,1  2,0   0:02.32 python3
10061 nuc       20   0 2335580 357424  97356 S 282,4  2,2   0:10.82 python3
10061 nuc       20   0 2341760 364032  97356 S 297,0  2,2   0:19.73 python3
10061 nuc       20   0 2342412 362968  98292 S 293,7  2,2   0:28.57 python3
10061 nuc       20   0 2342412 362988  98292 S 298,7  2,2   0:37.56 python3
10061 nuc       20   0 2342412 362588  98292 S 297,0  2,2   0:46.50 python3
10061 nuc       20   0 2342412 362776  98292 S 296,3  2,2   0:55.42 python3
10061 nuc       20   0 2342412 361740  98292 S 296,3  2,2   1:04.31 python3
10061 nuc       20   0 2342412 361476  98292 S 297,0  2,2   1:13.25 python3
10061 nuc       20   0 2342412 362528  98292 S 296,0  2,2   1:22.16 python3
10061 nuc       20   0 2342412 364688  98292 S 297,0  2,2   1:31.10 python3
10061 nuc       20   0 2342412 361796  98292 S 290,0  2,2   1:39.83 python3
10061 nuc       20   0 2342412 360468  98292 S 293,3  2,2   1:48.63 python3
10061 nuc       20   0 2342412 364872  98292 S 289,0  2,2   1:57.33 python3
10061 nuc       20   0 2342412 367684  98292 S 276,7  2,3   2:05.66 python3
10061 nuc       20   0 2342412 360856  98292 S 296,0  2,2   2:14.57 python3
10061 nuc       20   0 2342412 362832  98292 S 291,4  2,2   2:23.34 python3
10061 nuc       20   0 2342412 361820  98292 S 292,7  2,2   2:32.12 python3
10061 nuc       20   0 2342412 358136  98292 S 291,4  2,2   2:40.89 python3
10061 nuc       20   0 2342412 360840  98292 S 294,0  2,2   2:49.74 python3
10061 nuc       20   0 2342412 362736  98292 S 290,4  2,2   2:58.48 python3
10061 nuc       20   0 2342412 361592  98292 S 286,7  2,2   3:07.11 python3
10061 nuc       20   0 2342412 361492  98292 S 291,0  2,2   3:15.87 python3
10061 nuc       20   0 2342412 363060  98292 S 300,7  2,2   3:24.92 python3
10061 nuc       20   0 2342412 368904  98292 S 299,0  2,3   3:33.89 python3
10061 nuc       20   0 2342412 364200  98292 S 301,7  2,2   3:42.97 python3
10061 nuc       20   0 2342412 360716  98292 S 300,0  2,2   3:52.00 python3
