10452 nuc       20   0  355056  71108  46160 R  22,3  0,4   0:00.67 python3
10452 nuc       20   0 2334192 358160  97832 S 184,1  2,2   0:06.21 python3
10452 nuc       20   0 2334192 361612  97832 S 284,7  2,2   0:14.78 python3
10452 nuc       20   0 2334192 358816  97832 S 288,7  2,2   0:23.44 python3
10452 nuc       20   0 2334192 359660  97832 S 290,4  2,2   0:32.18 python3
10452 nuc       20   0 2334192 360504  97832 R 288,7  2,2   0:40.87 python3
10452 nuc       20   0 2334192 362496  97832 S 288,4  2,2   0:49.55 python3
10452 nuc       20   0 2340336 360320  97832 S 288,7  2,2   0:58.24 python3
10452 nuc       20   0 2340336 361656  97832 S 291,0  2,2   1:07.00 python3
10452 nuc       20   0 2340336 362408  97832 S 281,7  2,2   1:15.45 python3
10452 nuc       20   0 2340336 358628  97832 R 271,8  2,2   1:23.63 python3
10452 nuc       20   0 2340336 366284  97832 S 280,7  2,2   1:32.08 python3
10452 nuc       20   0 2340336 360204  97832 S 282,1  2,2   1:40.57 python3
10452 nuc       20   0 2340372 361624  97832 S 279,1  2,2   1:48.97 python3
10452 nuc       20   0 2340372 361780  97832 S 286,4  2,2   1:57.59 python3
10452 nuc       20   0 2340372 362188  98644 S 298,0  2,2   2:06.56 python3
10452 nuc       20   0 2340372 362460  98644 S 293,7  2,2   2:15.40 python3
10452 nuc       20   0 2340372 361108  98644 R 295,7  2,2   2:24.27 python3
10452 nuc       20   0 2340372 362356  98644 S 287,7  2,2   2:32.93 python3
10452 nuc       20   0 2340372 360796  98644 S 289,7  2,2   2:41.65 python3
10452 nuc       20   0 2340372 359688  98644 S 291,4  2,2   2:50.42 python3
10452 nuc       20   0 2340372 362372  98644 S 291,0  2,2   2:59.18 python3
10452 nuc       20   0 2340372 363740  98644 S 292,3  2,2   3:07.95 python3
10452 nuc       20   0 2340372 360440  98644 S 294,7  2,2   3:16.82 python3
10452 nuc       20   0 2340372 364464  98644 S 292,7  2,2   3:25.63 python3
10452 nuc       20   0 2340372 361604  98644 S 292,4  2,2   3:34.43 python3
10452 nuc       20   0 2340372 364104  98644 S 293,3  2,2   3:43.23 python3
10452 nuc       20   0 2340372 363708  98644 S 294,0  2,2   3:52.08 python3
