 9606 nuc       20   0  556164 129288  58284 R  39,2  0,8   0:01.18 python3
 9606 nuc       20   0 2391584 380052  97520 S 261,1  2,3   0:09.04 python3
 9606 nuc       20   0 2440736 384136  97520 S 361,1  2,4   0:19.91 python3
 9606 nuc       20   0 2440736 382908  97520 S 367,4  2,3   0:30.97 python3
 9606 nuc       20   0 2440736 395352  97520 S 363,8  2,4   0:41.92 python3
 9606 nuc       20   0 2440736 382900  97520 S 364,5  2,3   0:52.89 python3
 9606 nuc       20   0 2440736 395032  97520 S 366,4  2,4   1:03.92 python3
 9606 nuc       20   0 2440736 388652  97520 S 365,0  2,4   1:14.87 python3
 9606 nuc       20   0 2440736 384436  97520 S 368,8  2,4   1:25.97 python3
 9606 nuc       20   0 2440736 383400  97520 S 363,5  2,4   1:36.91 python3
 9606 nuc       20   0 2440736 383356  97520 S 366,1  2,3   1:47.93 python3
 9606 nuc       20   0 2440736 381720  97520 S 365,8  2,3   1:58.94 python3
 9606 nuc       20   0 2440736 389500  97520 S 365,0  2,4   2:09.89 python3
 9606 nuc       20   0 2440736 382728  97520 S 367,4  2,3   2:20.95 python3
 9606 nuc       20   0 2440736 389240  97520 S 363,1  2,4   2:31.88 python3
 9606 nuc       20   0 2440736 382348  97520 S 366,4  2,3   2:42.91 python3
 9606 nuc       20   0 2440736 386696  97520 S 364,8  2,4   2:53.89 python3
 9606 nuc       20   0 2440736 397312  97520 S 365,7  2,4   3:04.86 python3
 9606 nuc       20   0 2440736 384864  97520 S 369,1  2,4   3:15.97 python3
 9606 nuc       20   0 2440736 388988  97520 S 365,4  2,4   3:26.97 python3
 9606 nuc       20   0 2440736 387408  97520 S 364,8  2,4   3:37.95 python3
 9606 nuc       20   0 2440736 381196  97520 S 368,4  2,3   3:49.04 python3
 9606 nuc       20   0 2457120 396020  97520 S 364,7  2,4   3:59.98 python3
 9606 nuc       20   0 2457120 384696  97520 S 367,1  2,4   4:11.03 python3
 9606 nuc       20   0 2457120 387740  97520 S 364,8  2,4   4:22.01 python3
 9606 nuc       20   0 2457120 394756  97520 S 364,8  2,4   4:32.99 python3
 9606 nuc       20   0 2457120 385260  97520 S 368,1  2,4   4:44.07 python3
 9606 nuc       20   0 2457120 389360  97520 S 367,3  2,4   4:55.09 python3
 9606 nuc       20   0 2457120 383596  97520 S 366,4  2,4   5:06.12 python3
 9606 nuc       20   0 2457120 384984  97520 S 364,1  2,4   5:17.08 python3
 9606 nuc       20   0 2457120 398348  97520 S 364,1  2,4   5:28.04 python3
 9606 nuc       20   0 2457120 383440  97520 S 367,8  2,4   5:39.11 python3
 9606 nuc       20   0 2457120 387668  97520 S 362,8  2,4   5:50.03 python3
 9606 nuc       20   0 2457120 382236  97520 S 366,8  2,3   6:01.07 python3
 9606 nuc       20   0 2457120 386424  97520 S 364,8  2,4   6:12.05 python3
 9606 nuc       20   0 2457120 397564  97520 S 366,0  2,4   6:23.03 python3
 9606 nuc       20   0 2457120 384812  97520 S 366,4  2,4   6:34.06 python3
 9606 nuc       20   0 2457120 394060  97520 S 363,5  2,4   6:45.00 python3
 9606 nuc       20   0 2457120 387132  97520 S 365,4  2,4   6:56.00 python3
 9606 nuc       20   0 2457120 383524  97520 S 367,4  2,4   7:07.06 python3
 9606 nuc       20   0 2457120 395728  97520 S 364,8  2,4   7:18.04 python3
 9606 nuc       20   0 2457120 383476  97520 S 368,3  2,4   7:29.09 python3
 9606 nuc       20   0 2457120 396136  97520 S 364,8  2,4   7:40.07 python3
 9606 nuc       20   0 2457120 390856  97520 S 363,1  2,4   7:51.00 python3
 9606 nuc       20   0 2457120 382072  97520 S 366,8  2,3   8:02.04 python3
 9606 nuc       20   0 2457772 395880  97788 S 364,5  2,4   8:13.01 python3
 9606 nuc       20   0 2457772 388404  97788 S 367,7  2,4   8:24.04 python3
 9606 nuc       20   0 2457772 391196  97788 S 361,1  2,4   8:34.91 python3
 9606 nuc       20   0 2457772 388764  97788 S 362,8  2,4   8:45.83 python3
 9606 nuc       20   0 2457772 389804  97788 S 364,1  2,4   8:56.79 python3
 9606 nuc       20   0 2457772 384980  97788 S 334,9  2,4   9:06.87 python3
 9606 nuc       20   0 2457772 397868  97788 S 346,5  2,4   9:17.30 python3
 9606 nuc       20   0 2457772 391892  97788 S 351,5  2,4   9:27.88 python3
 9606 nuc       20   0 2457772 382064  97788 R 358,8  2,3   9:38.68 python3
 9606 nuc       20   0 2457772 396340  97788 S 354,2  2,4   9:49.34 python3
 9606 nuc       20   0 2457808 384320  98456 S 345,7  2,4   9:59.71 python3
 9606 nuc       20   0 2457808 397712  98456 S 360,8  2,4  10:10.57 python3
 9606 nuc       20   0 2457808 386264  98456 S 365,4  2,4  10:21.57 python3
 9606 nuc       20   0 2457808 390216  98456 S 363,5  2,4  10:32.51 python3
 9606 nuc       20   0 2457808 385056  98456 S 363,5  2,4  10:43.45 python3
 9606 nuc       20   0 2457808 389172  98456 S 362,8  2,4  10:54.37 python3
 9606 nuc       20   0 2457808 390764  98456 S 360,8  2,4  11:05.23 python3
 9606 nuc       20   0 2457808 389636  98456 S 364,1  2,4  11:16.19 python3
 9606 nuc       20   0 2457808 391064  98456 S 358,1  2,4  11:26.97 python3
 9606 nuc       20   0 2457808 384988  98456 S 367,7  2,4  11:38.00 python3
 9606 nuc       20   0 2457808 396744  98456 S 361,1  2,4  11:48.87 python3
 9606 nuc       20   0 2457808 384432  98456 S 366,1  2,4  11:59.89 python3
 9606 nuc       20   0 2457808 390176  98456 S 361,5  2,4  12:10.77 python3
 9606 nuc       20   0 2457808 384836  98456 S 364,5  2,4  12:21.74 python3
 9606 nuc       20   0 2457808 389872  98456 S 365,3  2,4  12:32.70 python3
